application_id,seat_allotted,paper,quota,choice_no,auto_upgrade,is_provisional,status_id
M105Z82,1703,PH,OBC,3,t,t,2
M106J68,1203,MS,GEN,1,f,t,3
M105U34,1701,CY,SC,5,f,t,2
M111D22,1502,MA,OBC,1,f,t,3
M102K54,1203,MS,GEN,1,f,t,2
M105J76,1504,MS,GEN,1,f,t,2
M110U12,1701,CY,GEN,4,t,t,2
M110Q88,1401,CY,ST,1,f,t,2
M107P79,1403,PH,GEN,6,t,t,2
M106N95,1205,CY,OBC,1,f,t,2
M109G47,1804,MA,GEN,4,t,t,2
M103X20,1102,CY,OBC,1,f,t,2
M105G95,1207,PH,OBC,3,f,t,2
M106Y24,1206,MA,OBC,1,f,t,2
M109T45,1104,PH,GEN,1,f,t,2
M105E78,1201,GG,GEN,1,f,t,2
M105D15,1201,GG,SC,1,f,t,2
M102U75,1401,CY,OBC,2,f,t,2
M107D86,1601,CY,GEN,1,f,t,2
M101B67,1402,MA,GEN,3,t,f,2
M111Y85,1601,CY,OBC,2,t,t,2
M117R18,1301,CY,OBC-PwD,1,f,t,2
M111Y61,2101,CY,GEN,7,t,t,2
M106N70,1605,GG,GEN,4,t,t,2
M101N77,1504,MS,GEN,1,f,t,2
M104V47,1503,PH,SC,1,f,t,2
M109B80,1301,CY,GEN,2,t,t,2
M101P31,1206,MA,SC,1,f,t,2
M111X39,2401,CY,OBC,11,t,t,2
M114V34,1101,BT,OBC,3,t,t,2
M113U97,2103,PH,GEN,5,t,t,2
M106T26,1202,PH,GEN,1,f,t,2
M101M55,1805,PH,OBC,1,f,t,2
M102K19,1505,PH,GEN,2,t,f,2
M106Z87,1101,BL,OBC,1,f,t,2
M110N90,1403,PH,OBC,10,f,t,2
M101P71,1603,MA,GEN,6,t,t,2
M102E17,1603,MA,GEN,4,t,f,2
M120D60,1602,GG,GEN-PwD,1,f,f,2
M101S67,1303,PH,GEN,2,t,t,2
M103W43,1301,CY,GEN,1,f,t,2
M108T36,1212,CY,GEN,15,f,t,2
M102T12,1207,PH,OBC,2,t,t,2
M103A94,1905,MA,SC,11,t,t,2
M103K64,1301,CY,GEN,3,t,t,2
M113Q41,1702,MA,GEN,4,t,t,2
M106D78,2203,MA,GEN,5,t,f,2
M104D20,1601,CY,GEN,4,t,t,2
M102C51,1303,PH,GEN,3,t,t,2
M107D73,1701,CY,SC,2,t,t,2
M101Q79,1204,BT,SC,1,f,t,2
M101M70,1702,MA,SC,3,t,t,2
M101N76,2201,CY,OBC,10,t,f,2
M116N15,2101,CY,OBC,3,t,t,2
M107D67,1101,BT,GEN,1,t,t,3
M102R13,1502,MA,OBC,2,f,t,2
M115G15,1703,PH,ST,1,f,t,2
M105D88,1402,MA,OBC,1,f,t,2
M105Q59,1101,BL,GEN,1,f,t,2
M101C96,1804,MA,GEN,6,t,t,2
M106R35,1802,BT,GEN,2,t,t,2
M110S90,1504,MS,OBC,1,f,t,2
M102U59,1403,PH,GEN,3,f,t,2
M103J43,1604,PH,GEN,3,t,t,2
M105C46,1901,CY,GEN,4,t,t,2
M120J78,1215,PH,ST,1,t,t,2
M106E37,1703,PH,OBC,8,t,t,2
M106D51,1303,PH,SC,3,t,f,2
M108R33,1206,MA,SC,1,f,t,2
M108P83,1303,PH,OBC,3,f,t,2
M104Q52,1302,MA,OBC,1,f,t,2
M107A80,2201,CY,GEN,10,t,t,2
M107Y70,2302,CY,OBC,12,t,t,3
M106F52,2103,PH,OBC,7,t,t,2
M102R81,1207,PH,GEN,1,f,t,2
M102D25,1402,MA,SC,5,t,t,3
M101W68,1603,MA,OBC,2,t,t,2
